title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
"Eyüpsultan Belediyesi ortaokul ve liseler arası ""Dünya 5'ten büyüktür"" karikatür yarışması albümü 2019",,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32287136W/Eyüpsultan_Belediyesi_ortaokul_ve_liseler_arası_Dünya_5'ten_büyüktür_karikatür_yarışması_albümü_2019?edition=key%3A/books/OL44035111M,2019,Eyüpsultan Belediyesi,Turkish,72,"Caricatures and cartoons, Exhibitions, Awards, Pictorial Wit and humor, Turkey"
"L'arte in gioco: per sviluppo, coesione sociale e benessere nella periferia urbana : premio di arte contemporanea = for the development, social cohesion and well-being of urban suburbs : prize for contemporary art",Chiara Pirozzi,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32269615W/L'arte_in_gioco?edition=key%3A/books/OL44016785M,2019,Iemme edizioni,Italian,95,"Premio L'arte in gioco, Art, Awards, Italian Art, Dewey Dell (Dance group), Niccolò De Napoli (1986-), Elena Mazzi (1984-), Italy, Naples, 21st century"
Positioner i ny dansk arkitektur: Nykredit Fonds Arkitekturpriser 2007-2019,Kristoffer Lindhardt Weiss,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32404950W/Positioner_i_ny_dansk_arkitektur?edition=key%3A/books/OL44171595M,2019,Strandberg Publishing,Danish,141,"Danish Architecture, Awards, Art patronage, Nykredit Realkredit A/S, 21st century"
Sten A Olssons kulturstipendium 2019,"Sara Michaëlsson, Magnus Haglund",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32338139W/Sten_A_Olssons_kulturstipendium_2019?edition=key%3A/books/OL44091045M,2019,Göteborgs konstmuseum,Swedish,210,"Swedish Arts, Exhibitions, Arts, Awards, Sweden, 21st century"
Prix de Rome 2019: Beeldende kunst = Visual arts,"Mirjam Beerman, Eleonoor Jap Sam",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32338600W/Prix_de_Rome_2019?edition=key%3A/books/OL44091542M,2019,JAP SAM Books,English,142,"Prix de Rome, Exhibitions, Arts, Competitions, Art, Awards, Netherlands"
"Lorck Schive kunstpris, 2013-2019","Ingvill Henmo, Gustav Svihus Borgersen, Beate Petersen",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32338984W/Lorck_Schive_kunstpris_2013-2019?edition=key%3A/books/OL44091969M,2019,Uten Tittel,Norwegian,144,"Norwegian Art, Exhibitions, Awards, Modern Art, 21st century"
Prémio Sonae Media Art award 2019,Anabela Carvalho,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32305445W/Prémio_Sonae_Media_Art_award_2019?edition=key%3A/books/OL44054905M,2019,Direção Geral do Património Cultural,Portuguese,63,"Multimedia (Art), Exhibitions, Awards, Video art, Portugal"
AC Arteam Cup: contemporary art prize : 2019 · 5a edizione,"Livia Savorelli, Matteo Galbiati",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32305510W/AC_Arteam_Cup?edition=key%3A/books/OL44054980M,2019,Vanilla edizioni,Italian,172,"Italian Art, Exhibitions, Art, Awards, Italy, Sanremo, 21st century"
"Le Prix Marcel Duchamp 2019: Éric Baudelaire, Katinka Bock, Marguerite Humeau, Ida Tursic & Wilfried Mille",Eric Baudelaire,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32305526W/Le_Prix_Marcel_Duchamp_2019?edition=key%3A/books/OL44054998M,2019,Silvana editoriale,French,63,"Prix Marcel Duchamp, Exhibitions, French Art, Modern Art, Art, Awards, France, 21st century"
"Il premio Suzzara e la sua influenza sul contesto socio-culturale: concorsi artistici, gallerie pubbliche e private, collezioni d'arte nella Città del Premio",Giovanni Avolio,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32332271W/Il_premio_Suzzara_e_la_sua_influenza_sul_contesto_socio-culturale?edition=key%3A/books/OL44084390M,2019,MUP,Italian,159,"Premio Suzzara, History, Art, Awards, Art and society, Italy, Suzzara"
Premio Alberto J. Trabucco 2019: otros soportes,Argentina) Premio Alberto J. Trabucco. O...,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31787313W/Premio_Alberto_J._Trabucco_2019?edition=key%3A/books/OL43482756M,2019,Fundación Alberto J. Trabucco,Spanish,36,"Exhibitions, Video art, Awards, Computer art, Installations (Art), Argentine Art, Diego Alberti, Argentina, 21st century"
Battaglia Foundry Sculpture Prize #03,Rochelle Goldberg,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32261066W/Battaglia_Foundry_Sculpture_Prize_03?edition=key%3A/books/OL44007799M,2019,Cura.books,English,56,"Artists' preparatory studies, Catalogs, Bronze sculpture, Awards, 21st century"
Chi zhi yi heng: Tang jiang di san jie de zhu de gu shi = Tang prize,Yufang Liang,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32302206W/Chi_zhi_yi_heng?edition=key%3A/books/OL44051572M,2019,Lian jing chu ban shi ye gu fen you xian gong si,Chinese,271,"Awards, Award winners, Biography, Taiwan"
Chamisso Preis Hellerau: Literatur und Migration 2018,Walter Schmitz,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32075239W/Chamisso_Preis_Hellerau?edition=key%3A/books/OL43804202M,2019,Thelem,German,239,"Chamisso Preis/Hellerau, German literature, Awards, History and criticism, María Cecilia Barbetta, Germany, 21st century"
Jādhibīyat al-farāgh fī al-taṣwīr al-ʻArabī al-muʻāṣir: khams ʻayyināt lil-fahm,ʻAzīz Azghāy,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32060520W/Jādhibīyat_al-farāgh_fī_al-taṣwīr_al-ʻArabī_al-muʻāṣir?edition=key%3A/books/OL43787952M,2019,"Dāʼirat al-Thaqāfah, Ḥukūmat al-Shāriqah",Arabic,146,"Art criticism, Arab Art, Philosophy, Modern Art, Artistic Photography, Painters, Image (Philosophy), Awards, Arab countries, United Arab Emirates"
Design X50: Designregio Kortrijk Award,"Tim F. Van Mensbrugghe, Jenke van den Akkerveken",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32338090W/Design_X50?edition=key%3A/books/OL44090996M,2019,Hannibal Publishing,Dutch,141,"Product design, Design, Awards, Belgium, West Flanders"
Stadt Bauen 7: Deutscher Städtebaupreis 2018 : Symposium : Orte der Bildung und Kultur im städtebaulichen Kontext : Preisverleihung: Deutscher Städtebaupreis 2018,Werner Durth,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32476008W/Stadt_Bauen_7?edition=key%3A/books/OL44261963M,2019,Wasmuth & Zohlen,German,124,"City planning, Awards, Architecture, History, Deutscher Städtebaupreis, Social aspects, Germany, 21st century"
Les femmes lauréates du premier prix de Rome de composition musicale: 1913-1966,Carole Bertho Woolliams,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32612310W/Les_femmes_lauréates_du_premier_prix_de_Rome_de_composition_musicale?edition=key%3A/books/OL44423280M,2019,L'Harmattan,French,286,"History, Women composers, Biography, Prix de Rome, Music, Awards, Music by women composers, History and criticism, Accademia di Francia (Rome, Italy), France, 20th century"
Saishin bunkashō jiten: 2011-2018 : A reference guide to Japanese awards and prizes for humanities and social science : 2011-2018,Nichigai Asoshiētsu,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32590531W/Saishin_bunkashō_jiten?edition=key%3A/books/OL44400422M,2019,Nichigai Asoshiētsu,Japanese,649,"Bunka kunshō, Handbooks, manuals, History, Humanities, Awards, Social sciences, Japan, 21st century"
