title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
"Jāʼizat al-Buḥūth wa-al-Dirāsāt, al-dawrah al-rābiʻat ʻashrah 2017 M: thaqāfat al-ʻamal al-khayrī","Umaymah ʻĀnī, Wafāʼ Yūsuf",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32058478W/Jāʼizat_al-Buḥūth_wa-al-Dirāsāt_al-dawrah_al-rābiʻat_ʻashrah_2017_M?edition=key%3A/books/OL43785709M,2017,Idārat Marākiz al-Tanmiyah al-Usarīyah,Arabic,209.0,"Social service, Research, Awards, Volunteer workers in social service, United Arab Emirates"
Sustainable design 5: Vers une nouvelle éthique pour l'architecture et la ville,Marie-Hélène Contal,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31335808W/Sustainable_design_5?edition=key%3A/books/OL42984054M,2017,Alternatives,"French,English",155.0,"Sustainable design, Sustainable architecture, Global award for sustainable architecture, Competitions, Awards, Architecture, Environmental aspects"
Mobile society,"Aanchal Mittal, Osama Manzar",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32311211W/Mobile_society?edition=key%3A/books/OL44060959M,2017,Digital Empowerment Foundation,English,154.0,"Wireless communication systems, Technological innovations, Awards, Mobile apps, Online social networks, Case studies, South Asia"
Liu Xiaobo ji nian wen ji,Chu Cai,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32361884W/Liu_Xiaobo_ji_nian_wen_ji?edition=key%3A/books/OL44115348M,2017,Zhongguo min zhu zhuan xing yan jiu suo,Chinese,340.0,"Nobel Prize winners, Peace, Awards, Xiaobo Liu (1955-2017)"
Nations of innovtions,Osama Manzar,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32371087W/Nations_of_innovtions?edition=key%3A/books/OL44125869M,2017,INOMY Media Pvt. Ltd.,English,130.0,"Technological innovations, Awards, Competitions, Information technology, South Asia"
Was ist ein Hype?,C. Bernd Sucher,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32347992W/Was_ist_ein_Hype?edition=key%3A/books/OL44100646M,2017,Bertz + Fischer,German,116.0,"Motion pictures, Awards, Mass media and publicity, Toni Erdmann (Motion picture)"
Stadt bauen 6: Deutscher Städtebaupreis 2016 : Symposium Soziale Impulse durch Städtebau : Preisverleihung Deutscher Städtebaupreis 2016. / Werner Durth (Hg.) ; im Auftrag der Akademie für Städtebau und Landesplanung,Werner Durth,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32722188W/Stadt_bauen_6?edition=key%3A/books/OL44540337M,2017,Wasmuth,German,119.0,"Architecture, History, City planning, Awards, Deutscher Städtebaupreis, Social aspects, Germany, 21st century"
Prix Pictet 07: Space,Prictet Group,1,https://covers.openlibrary.org/b/id/10725517-M.jpg,https://openlibrary.org/works/OL24245531W/Prix_Pictet_07?edition=key%3A/books/OL32073430M,"Jul 15, 2017",tENEUES,,132.0,"Photography, Artistic Photography, Awards, Exhibitions, Space, Pictorial works"
Healthy housing awards: 10th anniversary,"A. Galiano Garrigós, Carmina Revert",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32420381W/Healthy_housing_awards?edition=key%3A/books/OL44195574M,2017,University of Alicante,English,91.0,"Sustainable architecture, Awards, Domestic Architecture, Housing and health, Competitions, Spain, Alicante"
2005-2016 Premio COAM: arquitectura contemporánea de Madrid,Edgar González,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32504517W/2005-2016_Premio_COAM?edition=key%3A/books/OL44299084M,2017,Fundación Arquitectura COAM,Spanish,941.0,"Modern Architecture, Exhibitions, Awards, Spain, Madrid"
Vraveia architektonikēs 2017: Architectural awards 2017,Marianna Mēliōnē,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32600748W/Vraveia_architektonikēs_2017?edition=key%3A/books/OL44411142M,2017,Hellēniko Institouto Architektonikēs,Modern Greek,126.0,"Architects, Architecture, Awards, Modern Architecture, Greece"
España en la guerra civil europea: contribuciones de un hispanista,Paul Preston,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32697751W/España_en_la_guerra_civil_europea?edition=key%3A/books/OL44514058M,2017,Universitat de València,Spanish,301.0,"Awards, History, Relations, Paul Preston (1946-), Spain, Europe, 20th century, 1871-1918, 1918-1945"
"Seismographie des Hörspiels: 40 Jahre Hörspiel des Monats, 1977-2017 : 30 Jahre Hörspiel des Jahres, 1987-2017",Christoph Buggert,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32503740W/Seismographie_des_Hörspiels?edition=key%3A/books/OL44298198M,2017,Belleville,German,380.0,"German Radio plays, History and criticism, Awards, Mass media and the arts, History, Radio authorship, Language arts, Mass media and literature, Germany, German-speaking Europe"
"Premio Braque, 1963-1997",Lucie Haguenauer,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32595378W/Premio_Braque_1963-1997?edition=key%3A/books/OL44405489M,2017,EDUNTREF,Spanish,186.0,"Premio Braque, Exhibitions, Argentine Art, Young artists, Art, Awards, Artists, France. Ambassade (Argentina), France, Argentina, 20th century"
Das Schaffhauser Haus: Wertschöpfung und Baukultur im Werkraum Schaffhausen,Andreas Jud,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32401590W/Das_Schaffhauser_Haus?edition=key%3A/books/OL44165752M,2017,Edition Hochparterre,German,64.0,"Architecture, City planning, Awards, Switzerland, Schaffhausen"
Después de matar al oso pardo,Josemaría Camacho Sevilla,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32500629W/Después_de_matar_al_oso_pardo?edition=key%3A/books/OL44294402M,2017,Universidad Autónoma del Estado de México,Spanish,189.0,"Mexican fiction, Awards, 21st century"
Ephemere,"Jáchym Fleig, Martina Sprotte",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32552030W/Ephemere?edition=key%3A/books/OL44358013M,2017,Verlag Kettler,German,95.0,"Exhibitions, Installations (Art), Art, Awards, Jáchym Fleig (1970-), Germany"
"<Script>alert(""!Mediengruppe Bitnik"");</script>: Prix de la Société des arts de Genève 2017","Aude Launay, Felicity Lunn, Boris Magrini",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32552227W/Script_alert(_!Mediengruppe_Bitnik_)_script?edition=key%3A/books/OL44358253M,2017,Verlag für moderne Kunst,English,143.0,"Exhibitions, New media art, Art, Awards, !Mediengruppe Bitnik, Switzerland"
"20 godina ""Miholjdanske povelje"": biser čelinačke kulture","Jelena Ivanković, Borislav Maksimović",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32466121W/20_godina_Miholjdanske_povelje?edition=key%3A/books/OL44250017M,2017,"Narodna biblioteka ""Ivo Andrić"" Čelinac",Serbian,154.0,"Arts, Awards, Literary prizes, Intellectual life, Bosnia and Herzegovina, Čelinac, Čelinac (Bosnia and Herzegovina)"
Spektakuläre Häuser: Die Sieger des HÄUSER-Award,Bettina Hintze,1,https://covers.openlibrary.org/b/id/8848288-M.jpg,https://openlibrary.org/works/OL20198430W/Spektakuläre_Häuser?edition=key%3A/books/OL27385431M,"Mar 06, 2017",Deutsche Verlags-Anstalt,,,"Domestic Architecture, Awards"
