title,author,cover_url,publish_date,language,subjects
ogólnopolski przegląd plakatu muzealnego i ochrony zabytków: 2. edycja,poland) ogólnopolski przegląd plakatu mu...,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,polish,"polish posters, graphic artists, posters, competitions, awards, art, exhibitions, poland"
"k wie kunst: kardinal könig kunstpreis für bildende kunst, salzburg 2021",kardinal-könig-kunstfonds der erzdiözese salzburg,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,german,"modern art, awards, germany, 21st century"
"premio franklin rawson, a las artes visuales: 1o. edición, 2020",emanuel diaz ruiz,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,spanish,"art, exhibitions, awards, artists, history, argentina, san juan (province), 21st century"
"signo, expresión y conflicto: obras de ariel aballay, ezequiel quines, diego bastos",eduardo stupía,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,spanish,"argentine drawing, exhibitions, awards, argentine art, artists, history, diego bastos (1975-), ezequiel quines (1987-), ariel aballay (1972-), argentina, san juan (province), 21st century"
ṿe-eleh shemot ha-giborim: gibore ha-milḥemet ha-ʻatsmaʼut she-humletsu le-ʼotot hitsṭaynut = these are the names of the heroes : heroes of the war of independence recommended for medals of excellence,offer drori,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,hebrew,"armed forces, soldiers, awards, israel. tseva haganah le-yiśraʼel, israel"
fukushi no shōjiten,nichigai asoshiētsu,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,japanese,"social service, handbooks, manuals, awards, shakai fukushi-benran, hyōshō-benran, japan"
bda hamburg architektur preis 2020: die baujahre 2018-2020 ; mit den gewinnerbauten der letzten 25 jahre,"hildegard kösters, anna schuster",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,german,"architecture, awards, history, modern architecture, buildings, structures, germany, hamburg, hamburg (germany), 21st century"
michaela meise. totenklage,thomas niemeyer,https://covers.openlibrary.org/b/id/12566961-M.jpg,2021,"german,english,turkish","exhibitions, awards, städtische galerie nordhorn (germany)"
geehrte volkskunde: ehrenpromotionen und ehrenbürgerschaften an der universität münster (1922-1968),julius virnyi,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,german,"academic decorations of honor, history, folklore, local history, degrees, awards, universität münster, germany, münster in westfalen, 20th century"
marcel odenbach: schnittvorlagen : wolfgang-hahn-preis 2021 = wolfgang hahn prize 2021,"marcel odenbach, carla cugini, yilmaz dziewior, susanne pfeffer, museum ludwig cologne",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,"multiple languages,german,english","exhibitions, collage, awards, marcel odenbach (1953-)"
"scénographie des plaisirs urbains - jacqueline osty, grand p","jacqueline osty, ariella masboungi, antoine petitjean",https://covers.openlibrary.org/b/id/11298645-M.jpg,"Jan 21, 2021",french,"grand prix de l'urbanisme, city planning, history, awards, architecture"
