title,authors,publisher,publishedDate,description,categories,pageCount,language,previewLink,averageRating,ratingsCount
Anthropology News,,,2004,,Anthropological linguistics,308.0,en,http://books.google.de/books?id=AhwNAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=57&source=gbs_api,,
Essentials of Young Adult Literature,"Carl M. Tomlinson, Carol Lynch-Brown",Allyn & Bacon,2007,"""Essentials of Young Adult Literature"" Based on a genre approach to literature, this long-awaited book offers a comprehensive, clear, and succinct overview of adolescent literature. It includes recommended books listed by genre and topic, and engages readers by offering a thorough discussion of the major trends and issues affecting young adult literature such as censorship, the literary canon, and accountability. It provides clearly stated positions on the current issues affecting schools and literature. Written by well-known authors Carl Tomlinson and Carol Lynch-Brown, ""Essentials of Young Adult Literature"" places emphasis on reading a wide variety of young adult literature and addresses all types and formats of literature including novels, short stories, graphic novels, and picture books for older readers. In addition, notable authors are featured in each genre chapter and multicultural and international literature is integrated throughout the book and then treated more fully in its own chapter. Current and future teachers will appreciate the authors' practical strategies for connecting secondary school students with young adult books, such as how to select books that students will read and enjoy, how to motivate resistant readers to read, and how to develop text sets for classroom study across the curriculum. Readers will be equipped with the knowledge to use trade books as excellent teaching and learning materials and will not be limited to using textbooks alone. Key Features ""Literature Across the Curriculum"" features found in all genre chapters give examples of how young adult literature can help students and teachers in the content areas learn or present course content in a more interesting, memorable way. Extensive lists of recommended books briefly annotated with topics and age levels follow each genre chapter. One full chapter devoted to addressing the specific needs of resistant readers give middle and high school teachers much-needed strategies for addressing common obstacles to reading and for motivating students to read. Every chapter presents one to three charts with information about milestone books, history of specific genres, and research. Appendices feature Young Adult Book Award lists and YA Magazines, organized by content area and include ordering information. By the same authors Essentials of Children's Literature, Fifth Edition (c)2005, Allyn & Bacon, ISBN 0-205-42015-X For more information, please visit www.ablongman.com",Education,308.0,en,http://books.google.de/books?id=Sx_uAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=58&source=gbs_api,,
"The Saturday Review of Politics, Literature, Science and Art",,,1898,,,912.0,en,http://books.google.de/books?id=Ah8QIfB2WH0C&pg=PA151-IA2&dq=awarded+books&hl=&as_pt=BOOKS&cd=59&source=gbs_api,,
Library Literature,,,1984,,Information science,664.0,en,http://books.google.de/books?id=UDmaAAAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=60&source=gbs_api,,
Illinois Reading Council Journal,,,2013,,Reading,296.0,en,http://books.google.de/books?id=94ELq7xCul4C&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=81&source=gbs_api,,
Proceedings of the Board of Directors of the Chicago Public Library,Chicago Public Library,,1920,,,458.0,en,http://books.google.de/books?id=AK0yrJN1Du8C&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=82&source=gbs_api,,
International Literary Market Place 2003,Information Today Inc,Information Today,2002,"Plus, ILMP 2003 includes two publisher indexes--Types of Publications Index and Subject Index--that offer access to publishers via some 142 headings. Additional coverage includes information on international literary prizes, copyright conventions, a yellow pages directory, and a worldwide calendar of events through 2003.",Language Arts & Disciplines,1776.0,en,http://books.google.de/books?id=lIEbAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=83&source=gbs_api,,
News Notes of California Libraries,California State Library,,1931,Vols. for 1971- include annual reports and statistical summaries.,Libraries,1278.0,en,http://books.google.de/books?id=O-dNAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=84&source=gbs_api,,
Little Folks,,,1898,,,1216.0,en,http://books.google.de/books?id=W1ihlxE0BU4C&pg=PA72&dq=awarded+books&hl=&as_pt=BOOKS&cd=85&source=gbs_api,,
City Record,Boston (Mass.),,1925,,Boston (Mass.),1750.0,en,http://books.google.de/books?id=Z_SEqeUsbp0C&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=86&source=gbs_api,,
Library Journal,,,1968,,Libraries,1150.0,en,http://books.google.de/books?id=aEY8AQAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=87&source=gbs_api,,
Haverford College Catalog,Haverford College,,1903,,College catalogs,442.0,en,http://books.google.de/books?id=wUpKAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=88&source=gbs_api,,
Official Report,Saint Louis (Mo.). Board of Education,,1892,,Saint Louis (Mo.),1214.0,en,http://books.google.de/books?id=YvjeAAAAMAAJ&pg=PA326&dq=awarded+books&hl=&as_pt=BOOKS&cd=89&source=gbs_api,,
British Book News,,,1991,,Best books,916.0,en,http://books.google.de/books?id=53UsAAAAYAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=90&source=gbs_api,,
Poet's Market '97,Christine Martin,Writer's Digest Books,1996-09-15,"This directory helps poets match rhyme to reason when marketing their work. In it they will find 1,700 up-to-date listings--more than 300 new ones--of book and magazine publishers seeking poetry; contests and awards; grants awarded by the U.S. and Canadian arts councils; conferences, workshops, and writers' colonies; and pertinent organizations and publications. Illustrations.",Language Arts & Disciplines,608.0,en,http://books.google.de/books?id=zCdfidSjeoEC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=91&source=gbs_api,5.0,1.0
Bookman's Journal with which is Incorporated the Print Collector,,,1920,"V. 1-3 include ""Bibliographies of modern authors by Henry Danielson.""",Bibliography,1196.0,en,http://books.google.de/books?id=nLsWAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=92&source=gbs_api,,
The Unesco Courier,,,1976,,Developing countries,858.0,en,http://books.google.de/books?id=qdETAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=93&source=gbs_api,,
Alabama Bound,James Earl Colquitt,Livingston Press (AL),1995,"The twenty-eight stories which make up this memorable collection give powerful testimony to the richness and vitality of short story writing in Alabama. The collection contains exquisite stories by well-known writers such as Mary Ward Brown, Barry Hannah, Madison Jones, Albert Murray, Helen Norris, Eugene Walter and Tobias Wolff, as well as fine stories by authors such as Michelle Richmond and Kingman Cody Shelburne, who appear in print here for the first time.",Fiction,232.0,en,http://books.google.de/books?id=xvdZAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=94&source=gbs_api,,
